date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2000-01-04,16.71,17.1,17.39,17486.0,29893382.0,16.75
2000-01-04,16.62,16.72,18.45,41268.0,74191124.0,18.45
2000-01-04,16.21,16.31,17.3,17050.0,28651788.0,17.08
2000-01-05,18.45,18.45,20.3,187321.0,379826144.0,20.3
2000-01-05,20.3,20.3,22.33,317307.0,695940608.0,21.65
2000-01-05,20.18,21.7,21.7,108273.0,225728608.0,20.36
2000-01-07,19.52,20.2,20.66,120790.0,241688948.0,19.77
2000-01-07,18.66,19.8,19.99,63430.0,122255604.0,18.75
2000-01-08,18.28,18.8,19.1,40871.0,76201248.0,18.34
2000-01-08,18.08,18.36,19.05,30272.0,56388926.0,18.8
2000-01-08,17.99,18.9,18.95,31597.0,58048892.0,18.01
2000-01-08,18.01,18.05,18.89,20689.0,38383796.0,18.44
2000-01-09,18.25,18.4,19.5,36295.0,68888192.0,19.02
2000-01-09,18.85,19.1,20.0,56708.0,110425856.0,19.2
2000-01-09,18.78,19.12,19.7,32965.0,62967416.0,19.18
2000-01-09,18.82,19.2,19.52,24913.0,47603552.0,18.94
2000-01-10,18.55,19.0,19.25,18205.0,34041304.0,18.68
2000-01-10,18.63,18.63,19.6,28118.0,53918822.0,19.17
2000-01-10,18.98,19.22,20.68,78153.0,155758197.0,19.95
2000-01-11,20.6,21.0,21.96,99954.0,216188704.0,21.96
2000-01-11,21.0,22.5,23.9,175558.0,395784192.0,21.6
2000-01-16,20.55,21.6,22.2,87430.0,186229696.0,21.0
2000-01-17,19.1,21.0,21.9,103670.0,209824064.0,19.32
2000-01-18,19.0,19.08,19.99,38464.0,75335245.0,19.78
2000-01-19,19.4,19.82,21.76,98648.0,205462279.0,21.0
2000-01-19,19.59,21.0,21.2,47456.0,96424148.0,19.73
2000-01-19,19.5,19.7,19.98,26452.0,51981802.0,19.65
2000-01-19,19.68,19.68,20.5,21304.0,42772180.0,20.1
2000-01-19,19.68,20.18,20.2,20657.0,41052850.0,19.78
2000-01-19,19.5,19.84,21.2,50225.0,101719249.0,20.7
2000-01-20,20.0,20.9,22.77,333392.0,749765347.0,22.77
2000-01-21,22.11,23.98,24.75,358095.01,842983852.0,22.28
2000-01-22,21.3,21.98,22.6,107243.0,234831394.0,21.8
2000-01-22,22.35,22.5,24.2,262470.0,631019412.0,24.2
2000-01-22,24.15,26.0,26.02,411640.01,1035304760.0,24.15
2000-01-25,23.6,23.8,26.41,331399.0,842691335.0,26.41
2000-01-25,25.36,26.43,26.49,175792.0,453981432.0,25.75
2000-01-25,25.5,25.82,27.2,157990.0,415292608.0,25.6
2000-01-26,24.41,25.8,26.1,129890.0,323365933.0,24.5
2000-01-27,24.14,24.49,25.15,59036.0,144644096.0,24.5
2000-01-27,22.14,23.3,24.1,135457.0,312137148.0,23.08
2000-01-27,22.1,23.0,23.0,63961.0,142798764.0,22.1
2000-01-27,20.08,21.99,21.99,77531.0,163919836.0,20.5
2000-01-28,20.11,20.2,22.0,75707.0,161686437.0,21.7
2000-01-28,21.0,21.7,22.23,55419.0,119402464.0,21.78
2000-01-28,21.3,21.8,21.9,38932.0,83586788.0,21.5
2000-01-28,21.5,21.5,22.58,44005.0,96954744.0,21.83
2000-01-28,21.4,21.88,22.19,39109.0,84601328.0,21.8
2000-01-28,21.72,21.98,22.72,53726.0,119254342.0,21.89
2000-01-28,21.6,21.84,22.08,34562.0,75349200.0,21.95
2000-01-28,21.61,22.0,22.3,33419.0,72944468.0,21.9
2000-01-29,21.93,21.99,22.86,43379.0,97133910.0,22.24
2000-01-29,22.33,22.33,23.5,45813.0,105294912.0,23.0
2000-01-29,22.3,23.0,23.1,32177.0,72640834.0,22.44
2000-01-29,21.8,22.38,22.4,26863.27,59340816.0,21.84
2000-01-29,21.4,21.8,21.84,25388.02,54768624.0,21.5
2000-02-01,21.45,22.54,22.54,19811.86,43346845.0,21.87
2000-02-01,21.9,21.9,22.55,23953.91,53531936.0,22.45
2000-02-01,22.05,22.5,22.64,15427.18,34406800.0,22.17
2000-02-01,21.6,21.98,22.52,18054.0,39713692.0,22.28
2000-02-01,22.09,22.3,22.97,28928.0,65243748.0,22.35
2000-02-01,22.05,22.38,22.5,18977.0,42211855.0,22.35
2000-02-02,22.31,22.35,23.49,66296.0,152200880.0,22.86
2000-02-02,22.37,22.87,23.49,46694.0,107087769.0,22.62
2000-02-02,22.5,22.7,23.05,22457.0,51149932.0,22.85
2000-02-02,22.85,22.85,23.39,32348.0,74743984.0,22.96
2000-02-03,22.6,22.96,22.96,17398.92,39534392.0,22.66
2000-02-03,22.2,22.68,22.8,21603.0,48368600.0,22.25
2000-02-03,21.8,22.49,22.49,20357.0,44640658.0,21.85
2000-02-03,21.85,21.87,22.53,11406.0,25196278.0,22.31
2000-02-03,21.9,22.0,22.3,9646.0,21224248.0,22.15
2000-02-04,21.78,22.3,22.3,17184.0,37585764.0,21.86
2000-02-04,21.68,21.9,22.0,13408.0,29330970.0,21.98
2000-02-04,21.85,22.48,22.48,7830.0,17235570.0,21.96
2000-02-04,21.45,21.97,22.06,15198.0,32826188.0,21.55
2000-02-04,20.58,21.53,21.53,17794.0,37153689.0,20.68
2000-02-06,20.6,20.65,20.99,11038.0,22899700.0,20.66
2000-02-06,20.47,20.71,20.95,9283.0,19162511.0,20.56
2000-02-06,20.15,20.15,20.4,5809.0,11785470.0,20.34
2000-02-06,20.33,20.33,20.78,6465.0,13294471.0,20.44
2000-02-06,20.3,20.5,20.68,6893.0,14133349.0,20.67
2000-02-06,20.6,20.77,21.55,13841.0,29314560.0,21.37
2000-02-06,20.95,21.39,21.45,9145.92,19320094.0,21.11
2000-02-07,21.01,21.1,21.8,13401.0,28698156.0,21.5
2000-02-07,21.5,21.5,22.07,16583.93,36209352.0,21.84
2000-02-07,21.68,21.8,21.99,14201.22,31002114.0,21.7
2000-02-07,21.68,21.7,22.15,17868.0,39062030.0,22.08
2000-02-07,21.6,22.09,22.25,8923.0,19459494.0,21.8
2000-02-07,21.3,21.82,21.85,11539.0,24813747.0,21.5
